position,eval
x-oxoxxo-,-1
x-oxoxoox,-1
x-oxox-ox,1
x-oxox-o-,1
x-oxoxx-o,-1
x-oxoxoxo,-1
x-oxox-xo,1
x-oxox--o,1
x-oxox---,1
x-oxo-x--,-1
x-oxooxx-,-1
x-oxoooxx,-1
x-oxoo-xx,1
x-oxoo-x-,1
x-oxo-ox-,-1
x-oxo-xxo,-1
x-oxo--xo,1
x-oxo--x-,1
x-oxoox-x,-1
x-oxoo--x,1
x-oxo-o-x,-1
x-oxo-xox,-1
x-oxo--ox,1
x-oxo---x,1
x-oxo----,1
x-oxxooxo,-1
x-oxxoox-,1
x-oxxoo-x,-1
x-oxxoo--,1
x-oxxoxo-,-1
x-oxxo-ox,-1
x-oxxo-o-,1
x-oxxo--o,-1
x-oxxo---,1
x-ox-ox--,-1
x-ox-ooxx,1
x-ox-oox-,-1
x-ox-o-xo,-1
x-ox-o-x-,1
x-ox-oo-x,1
x-ox-oxox,-1
x-ox-o-ox,1
x-ox-o--x,-1
x-ox-o---,1
x-oxxxoo-,-1
x-oxx-oox,-1
x-oxx-oo-,1
x-oxxxo-o,-1
x-oxx-oxo,1
x-oxx-o-o,1
x-oxx-o--,-1
x-ox-xoox,1
x-ox-xoo-,1
x-ox-xoxo,1
x-ox-xo-o,1
x-ox-xo--,1
x-ox--oxo,-1
x-ox--ox-,1
x-ox--oox,1
x-ox--o-x,1
x-ox--o--,1
x-oxxx-oo,-1
x-oxx-xoo,-1
x-oxx--oo,1
x-oxx--o-,-1
x-ox-xxoo,-1
x-ox-x-oo,1
x-ox-x-o-,-1
x-ox--xo-,-1
x-ox---ox,-1
x-ox---o-,1
x-oxx---o,1
x-ox-x--o,-1
x-ox--x-o,-1
x-ox---xo,1
x-ox----o,1
x-ox-----,-1
x-ooxxoxo,1
x-ooxxox-,-1
x-ooxxo-x,-1
x-ooxxo--,1
x-ooxxxoo,0
x-ooxxxo-,0
x-ooxx-ox,-1
x-ooxx-o-,1
x-ooxxx-o,0
x-ooxx-xo,0
x-ooxx--o,0
x-ooxx---,0
x-ooxoxxo,-1
x-ooxoxx-,1
x-ooxox-x,-1
x-ooxox--,1
x-oox-xox,-1
x-oox-xo-,1
x-oox-xxo,1
x-oox-x-o,0
x-oox-x--,0
x-ooxo-xx,-1
x-ooxo-x-,1
x-oox-oxx,-1
x-oox-ox-,1
x-oox--xo,1
x-oox--x-,-1
x-oox---x,-1
x-oox----,1
x-o-xoxox,-1
x-o-xoxo-,1
x-o-xox-o,-1
x-o-xox--,1
x-o-xooxx,-1
x-o-xoox-,1
x-o-xo-xo,-1
x-o-xo-x-,1
x-o-xo--x,-1
x-o-xo---,1
x-o-xxoox,-1
x-o-xxoo-,1
x-o-xxoxo,-1
x-o-xxo-o,1
x-o-xxo--,-1
x-o-x-oxo,1
x-o-x-ox-,-1
x-o-x-o-x,-1
x-o-x-o--,1
x-o-xxxoo,0
x-o-xx-oo,1
x-o-xx-o-,-1
x-o-x-xoo,1
x-o-x-xo-,-1
x-o-x--ox,-1
x-o-x--o-,1
x-o-xx--o,0
x-o-x-x-o,1
x-o-x--xo,1
x-o-x---o,0
x-o-x----,0
x-oooxxxo,0
x-oooxxx-,0
x-oooxxox,0
x-oooxx-x,0
x-oooxx--,0
x-oo-xxox,0
x-oo-xxo-,0
x-oo-xxxo,0
x-oo-xx-o,0
x-oo-xx--,0
x-oooxoxx,-1
x-ooox-xx,1
x-ooox-x-,0
x-oo-xoxx,1
x-oo-xox-,1
x-oo-x-xo,0
x-oo-x-x-,0
x-ooox--x,0
x-oo-xo-x,1
x-oo-x-ox,1
x-oo-x--x,0
x-oo-x---,0
x-o-oxxox,1
x-o-oxxo-,1
x-o-oxxxo,0
x-o-oxx-o,1
x-o-oxx--,0
x-o-oxox-,-1
x-o-ox-xo,0
x-o-ox-x-,1
x-o-oxo-x,-1
x-o-ox-ox,-1
x-o-ox--x,1
x-o-ox---,0
x-o--xoxo,1
x-o--xox-,1
x-o--xoox,1
x-o--xo-x,1
x-o--xo--,1
x-o--xxoo,1
x-o--xxo-,0
x-o--x-ox,1
x-o--x-o-,1
x-o--xx-o,0
x-o--x-xo,0
x-o--x--o,1
x-o--x---,0
x-ooo-xxx,-1
x-ooo-xx-,1
x-oo-oxxx,-1
x-oo-oxx-,1
x-oo--xxo,0
x-oo--xx-,0
x-ooo-x-x,1
x-oo-ox-x,1
x-oo--xox,1
x-oo--x-x,-1
x-oo--x--,1
x-o-ooxxx,-1
x-o-ooxx-,1
x-o-o-xxo,1
x-o-o-xx-,-1
x-o-oox-x,1
x-o-o-xox,1
x-o-o-x-x,-1
x-o-o-x--,1
x-o--oxxo,-1
x-o--oxx-,1
x-o--oxox,1
x-o--ox-x,-1
x-o--ox--,1
x-o---xox,-1
x-o---xo-,1
x-o---xxo,1
x-o---x-o,1
x-o---x--,-1
x-ooo--xx,1
x-oo-o-xx,1
x-oo--oxx,1
x-oo---xx,-1
x-oo---x-,1
x-o-oo-xx,1
x-o-o-oxx,-1
x-o-o--xx,1
x-o-o--x-,1
