position,eval
ox-o----x,1
ox--o---x,0
ox---o--x,1
ox----o-x,0
ox-----ox,0
ox------x,0
ox-------,0
-xoxoxo--,-1
-xoxoxxoo,1
-xoxoxxo-,0
-xoxoxoox,-1
-xoxox-ox,1
-xoxox-o-,0
-xoxoxx-o,1
-xoxoxoxo,-1
-xoxox-xo,1
-xoxox--o,-1
-xoxox---,1
-xoxooxxo,-1
-xoxooxx-,1
-xoxooxox,1
-xoxoox-x,-1
-xoxoox--,1
-xoxo-xox,0
-xoxo-xo-,1
-xoxo-xxo,1
-xoxo-x-o,1
-xoxo-x--,0
-xoxoooxx,-1
-xoxoo-xx,1
-xoxoo-x-,-1
-xoxo-ox-,-1
-xoxo--xo,-1
-xoxo--x-,1
-xoxoo--x,1
-xoxo-o-x,-1
-xoxo--ox,0
-xoxo---x,1
-xoxo----,0
-xoxxoox-,-1
-xoxxooox,1
-xoxxoo-x,-1
-xoxxoo--,1
-xoxxoxoo,-1
-xoxxoxo-,1
-xoxxo-ox,0
-xoxxo-o-,0
-xoxxo--o,-1
-xoxxo---,1
-xox-oxox,0
-xox-oxo-,1
-xox-ox-o,-1
-xox-ox--,1
-xox-ooxx,1
-xox-oox-,1
-xox-o-xo,-1
-xox-o-x-,1
-xox-oo-x,1
-xox-o-ox,1
-xox-o--x,-1
-xox-o---,1
-xoxxxoo-,-1
-xoxx-oox,-1
-xoxx-oo-,1
-xoxxxo-o,-1
-xoxx-oxo,-1
-xoxx-o-o,1
-xoxx-o--,-1
-xox-xoox,1
-xox-xoo-,1
-xox-xoxo,1
-xox-xo-o,1
-xox-xo--,1
-xox--oxo,1
-xox--ox-,1
-xox--oox,1
-xox--o-x,1
-xox--o--,1
-xoxxx-oo,-1
-xoxx-xoo,1
-xoxx--oo,1
-xoxx--o-,0
-xox-xxoo,-1
-xox-x-oo,1
-xox-x-o-,0
-xox--xoo,1
-xox--xo-,0
-xox---ox,0
-xox---o-,0
-xoxx---o,1
-xox-x--o,1
-xox--x-o,1
-xox---xo,1
-xox----o,-1
-xox-----,1
-xooxxox-,-1
-xooxxoox,1
-xooxxo-x,1
-xooxxo--,1
-xooxxxoo,0
-xooxxxo-,0
-xooxx-ox,0
-xooxx-o-,0
-xooxxx-o,0
-xooxx-xo,-1
-xooxx--o,1
-xooxx---,0
-xooxoxx-,-1
-xooxoxox,1
-xooxox-x,-1
-xooxox--,1
-xoox-xox,0
-xoox-xo-,0
-xoox-xxo,-1
-xoox-x-o,1
-xoox-x--,0
-xoox--x-,-1
-xooxo-xx,-1
-xooxo--x,1
-xoox-oxx,-1
-xoox-o-x,1
-xoox--ox,1
-xoox---x,-1
-xoox----,1
-xo-xoxox,0
-xo-xoxo-,0
-xo-xox-o,-1
-xo-xox--,1
-xo-xo-x-,-1
-xo-xooxx,-1
-xo-xoo-x,1
-xo-xo-ox,1
-xo-xo--x,-1
-xo-xo---,1
-xo-xxoox,-1
-xo-xxoo-,1
-xo-xxoxo,-1
-xo-xxo-o,1
-xo-xxo--,-1
-xo-x-ox-,-1
-xo-x-oox,1
-xo-x-o-x,-1
-xo-x-o--,1
-xo-xxxoo,0
-xo-xx-oo,1
-xo-xx-o-,0
-xo-x-xoo,0
-xo-x-xo-,0
-xo-x--ox,0
-xo-x--o-,0
-xo-xx--o,-1
-xo-x-x-o,1
-xo-x--xo,-1
-xo-x---o,1
-xo-x----,0
-xoooxxxo,0
-xoooxxx-,0
-xoooxxox,0
-xoooxx-x,0
-xoooxx--,0
-xoo-xxox,0
-xoo-xxo-,0
-xoo-xxxo,0
-xoo-xx-o,0
-xoo-xx--,0
-xoooxoxx,-1
-xooox-xx,1
-xooox-x-,0
-xoo-xoxx,1
-xoo-xox-,1
-xoo-x-xo,1
-xoo-x-x-,0
-xooox--x,0
-xoo-xo-x,-1
-xoo-x-ox,0
-xoo-x--x,1
-xoo-x---,0
-xo-oxxox,0
-xo-oxxo-,0
-xo-oxxxo,1
-xo-oxx-o,0
-xo-oxx--,0
-xo-oxox-,-1
-xo-ox-xo,-1
-xo-ox-x-,1
-xo-oxo-x,-1
-xo-ox-ox,0
-xo-ox--x,1
-xo-ox---,0
-xo--xoxo,1
-xo--xox-,1
-xo--xoox,1
-xo--xo-x,1
-xo--xo--,1
-xo--xxoo,1
-xo--xxo-,0
-xo--x-ox,0
-xo--x-o-,0
-xo--xx-o,0
-xo--x-xo,1
-xo--x--o,1
-xo--x---,0
-xooo-xxx,-1
-xooo-xx-,1
-xoo-oxxx,-1
-xoo-oxx-,1
-xoo--xxo,1
-xoo--xx-,-1
-xooo-x-x,1
-xoo-ox-x,1
-xoo--xox,0
-xoo--x-x,0
-xoo--x--,1
-xo-ooxxx,-1
-xo-ooxx-,1
-xo-o-xxo,-1
-xo-o-xx-,1
-xo-oox-x,1
-xo-o-xox,0
-xo-o-x-x,0
-xo-o-x--,0
-xo--oxxo,-1
-xo--oxx-,1
-xo--oxox,1
-xo--ox-x,-1
-xo--ox--,1
-xo---xox,0
-xo---xo-,0
-xo---xxo,1
-xo---x-o,0
-xo---x--,0
-xooo--xx,1
-xoo-o-xx,1
-xoo--oxx,1
-xoo---xx,-1
-xoo---x-,1
-xo-oo-xx,1
-xo-o-oxx,-1
-xo-o--xx,1
-xo-o--x-,-1
-xo--ooxx,1
-xo--o-xx,-1
-xo--o-x-,1
-xo---oxx,1
-xo---ox-,1
-xo----xo,1
-xo----x-,1
-xoo----x,1
-xo-o---x,0
-xo--o--x,1
-xo---o-x,1
-xo----ox,0
-xo-----x,0
-xo------,0
-xxooxoxo,1
-xxooxox-,1
-xxooxo-x,-1
-xxooxo--,1
-xxooxxoo,1
-xxooxxo-,-1
-xxoox-ox,-1
-xxoox-o-,1
-xxooxx-o,1
-xxoox-xo,1
-xxoox--o,1
-xxoox---,-1
-xxooox--,-1
-xxoooxox,-1
-xxoo-xox,1
-xxoo-xo-,1
-xxoooxxo,-1
-xxoo-xxo,1
-xxoo-x-o,1
-xxoo-x--,1
-xxooo-x-,-1
-xxooooxx,-1
-xxoo-oxx,1
-xxoo-ox-,1
-xxoo--xo,1
-xxoo--x-,1
-xxooo--x,-1
-xxoo-o-x,1
-xxoo--ox,1
-xxoo---x,1
-xxoo----,1
-xxoxoox-,-1
xxxoxooox,-1
-xxoxooox,1
-xxoxoo-x,1
-xxoxoo--,1
-xxoxoxo-,-1
-xxoxo-ox,-1
-xxoxo-o-,1
-xxoxox-o,-1
-xxoxo-xo,-1
-xxoxo--o,1
-xxoxo---,-1
-xxo-oxox,1
-xxo-oxo-,1
-xxo-oxxo,1
-xxo-ox-o,1
-xxo-ox--,1
-xxo-ooxx,1
-xxo-oox-,1
-xxo-o-xo,1
-xxo-o-x-,1
-xxo-oo-x,1
-xxo-o-ox,1
-xxo-o--x,1
-xxo-o---,1
-xxoxxooo,-1
-xxoxxoo-,1
-xxox-oox,1
-xxox-oo-,1
-xxoxxo-o,1
-xxox-oxo,-1
-xxox-o-o,1
-xxox-o--,1
-xxo-xoox,-1
-xxo-xoo-,1
-xxo-xoxo,1
-xxo-xo-o,1
-xxo-xo--,1
-xxo--oxo,1
-xxo--ox-,1
-xxo--oox,1
-xxo--o-x,1
-xxo--o--,1
-xxoxx-oo,1
-xxox-xoo,-1
-xxox--oo,1
-xxox--o-,-1
-xxo-xxoo,-1
-xxo-x-oo,1
-xxo-x-o-,-1
-xxo--xoo,1
-xxo--xo-,-1
-xxo---ox,-1
-xxo---o-,1
-xxox---o,-1
-xxo-x--o,1
-xxo--x-o,-1
-xxo---xo,-1
-xxo----o,1
-xxo-----,1
-x-oxoxox,-1
-x-oxoxo-,1
-x-oxoxxo,-1
-x-oxox-o,1
-x-oxox--,-1
-x-oxo-x-,-1
-x-oxooxx,-1
-x-oxoo-x,1
-x-oxo-ox,1
-x-oxo--x,-1
-x-oxo---,1
-x-oxxoox,1
-x-oxxoo-,-1
-x-oxxoxo,-1
-x-oxxo-o,1
-x-oxxo--,1
-x-ox-ox-,-1
-x-ox-oox,1
-x-ox-o-x,1
-x-ox-o--,1
-x-oxxxoo,0
-x-oxx-oo,0
-x-oxx-o-,1
-x-ox-xoo,1
-x-ox-xo-,0
-x-ox--ox,0
-x-ox--o-,1
-x-oxx--o,0
-x-ox-x-o,-1
-x-ox--xo,-1
-x-ox---o,1
-x-ox----,-1
-x-ooxxox,0
-x-ooxxo-,1
-x-ooxxxo,1
-x-ooxx-o,0
-x-ooxx--,0
-x-ooxoxx,1
-x-ooxox-,-1
-x-oox-xo,0
-x-oox-x-,1
-x-ooxo-x,1
-x-oox-ox,1
-x-oox--x,0
-x-oox---,1
-x-o-xoxo,1
-x-o-xox-,1
-x-o-xoox,1
-x-o-xo-x,1
-x-o-xo--,1
-x-o-xxoo,1
-x-o-xxo-,0
-x-o-x-ox,0
-x-o-x-o-,1
-x-o-xx-o,0
-x-o-x-xo,0
-x-o-x--o,0
-x-o-x---,0
-x-oooxx-,-1
-x-oo-xxo,-1
-x-oo-xx-,1
-x-ooox-x,-1
-x-oo-xox,0
-x-oo-x-x,1
-x-oo-x--,0
-x-o-oxxo,1
-x-o-oxx-,1
-x-o-oxox,1
-x-o-ox-x,1
-x-o-ox--,1
-x-o--xox,0
-x-o--xo-,1
-x-o--xxo,1
-x-o--x-o,1
-x-o--x--,0
-x-ooo-xx,-1
-x-oo-oxx,-1
-x-oo--xx,1
-x-oo--x-,-1
-x-o-ooxx,1
-x-o-o-xx,1
-x-o-o-x-,1
-x-o--oxx,1
-x-o--ox-,1
-x-o---xo,1
-x-o---x-,1
-x-oo---x,0
-x-o-o--x,1
-x-o--o-x,1
-x-o---ox,1
-x-o----x,0
-x-o-----,1
-xxxoooxo,1
-xxxooox-,0
-xxxoooox,1
-xxxooo-x,0
-xxxooo--,1
xxxxooxoo,-1
-xxxooxoo,1
-xxxooxo-,0
-xxxoo-ox,0
-xxxoo-o-,1
-xxxoox-o,1
-xxxoo-xo,1
-xxxoo--o,1
-xxxoo---,0
-xx-ooxox,1
-xx-ooxo-,1
-xx-ooxxo,1
-xx-oox-o,1
-xx-oox--,1
-xx-oooxx,1
-xx-ooox-,1
-xx-oo-xo,1
-xx-oo-x-,1
-xx-ooo-x,1
-xx-oo-ox,1
-xx-oo--x,1
-xx-oo---,1
-xxxoxooo,-1
-xxxoxoo-,1
-xxxo-oox,-1
-xxxo-oo-,1
-xxxoxo-o,1
-xxxo-oxo,1
-xxxo-o-o,1
-xxxo-o--,0
-xx-oxoox,-1
-xx-oxoo-,1
-xx-oxoxo,1
-xx-oxo-o,1
-xx-oxo--,-1
-xx-o-oxo,1
-xx-o-ox-,1
-xx-o-oox,1
-xx-o-o-x,-1
-xx-o-o--,1
-xxxox-oo,1
-xxxo-xoo,1
-xxxo--oo,1
-xxxo--o-,0
-xx-oxxoo,1
-xx-ox-oo,1
-xx-ox-o-,-1
-xx-o-xoo,1
-xx-o-xo-,0
-xx-o--ox,-1
-xx-o--o-,1
-xxxo---o,1
-xx-ox--o,1
-xx-o-x-o,1
-xx-o--xo,1
-xx-o---o,1
-xx-o----,0
-x-xooxox,0
-x-xooxo-,1
-x-xooxxo,1
-x-xoox-o,1
-x-xoox--,0
-x-xoooxx,1
-x-xooox-,0
-x-xoo-xo,-1
-x-xoo-x-,1
-x-xooo-x,0
-x-xoo-ox,1
-x-xoo--x,0
-x-xoo---,1
-x-xoxoox,1
-x-xoxoo-,-1
-x-xoxoxo,1
-x-xoxo-o,-1
-x-xoxo--,1
-x-xo-oxo,-1
-x-xo-ox-,1
-x-xo-oox,1
-x-xo-o-x,1
-x-xo-o--,0
-x-xoxxoo,1
-x-xox-oo,-1
-x-xox-o-,1
-x-xo-xoo,1
-x-xo-xo-,0
-x-xo--ox,0
-x-xo--o-,1
-x-xox--o,1
-x-xo-x-o,1
-x-xo--xo,1
-x-xo---o,1
-x-xo----,0
-x--oxoxo,-1
-x--oxox-,1
-x--oxoox,1
-x--oxo-x,1
-x--oxo--,1
-x--oxxoo,1
-x--oxxo-,0
-x--ox-ox,0
-x--ox-o-,1
-x--oxx-o,1
-x--ox-xo,1
-x--ox--o,0
-x--ox---,0
-x--ooxxo,-1
-x--ooxx-,1
-x--ooxox,0
-x--oox-x,1
-x--oox--,0
-x--o-xox,0
-x--o-xo-,1
-x--o-xxo,1
-x--o-x-o,1
-x--o-x--,0
-x--oooxx,-1
-x--oo-xx,1
-x--oo-x-,-1
-x--o-oxx,1
-x--o-ox-,-1
-x--o--xo,-1
-x--o--x-,1
-x--oo--x,0
-x--o-o-x,1
-x--o--ox,1
-x--o---x,0
-x--o----,0
-xxxxoooo,-1
-xxxxooo-,1
-xxx-ooox,0
-xxx-ooo-,1
-xxxxoo-o,1
-xxx-ooxo,-1
-xxx-oo-o,1
-xxx-oo--,0
-xx-xooox,0
-xx-xooo-,1
-xx-xooxo,-1
-xx-xoo-o,1
-xx-xoo--,-1
-xx--ooxo,1
-xx--oox-,-1
-xx--ooox,1
-xx--oo-x,0
-xx--oo--,1
-xxxxo-oo,1
-xxx-oxoo,-1
-xxx-o-oo,1
-xxx-o-o-,0
-xx-xoxoo,-1
-xx-xo-oo,1
-xx-xo-o-,-1
-xx--oxoo,1
-xx--oxo-,-1
-xx--o-ox,0
-xx--o-o-,1
-xxx-o--o,-1
-xx-xo--o,-1
-xx--ox-o,-1
-xx--o-xo,-1
-xx--o--o,1
-xx--o---,-1
-x-xxooox,0
-x-xxooo-,0
-x-xxooxo,-1
-x-xxoo-o,1
-x-xxoo--,0
-x-x-ooxo,1
-x-x-oox-,0
-x-x-ooox,1
-x-x-oo-x,0
-x-x-oo--,0
-x-xxoxoo,1
-x-xxo-oo,-1
-x-xxo-o-,1
-x-x-oxoo,1
-x-x-oxo-,0
-x-x-o-ox,0
-x-x-o-o-,1
-x-xxo--o,1
-x-x-ox-o,1
-x-x-o-xo,1
-x-x-o--o,1
-x-x-o---,0
-x--xoox-,-1
-x--xooox,1
-x--xoo-x,-1
-x--xoo--,1
-x--xoxoo,1
-x--xoxo-,0
-x--xo-ox,0
-x--xo-o-,1
-x--xox-o,1
-x--xo-xo,-1
-x--xo--o,1
-x--xo---,-1
-x---oxox,0
-x---oxo-,1
-x---oxxo,1
-x---ox-o,1
-x---ox--,0
-x---ooxx,1
-x---oox-,1
-x---o-xo,1
-x---o-x-,1
-x---oo-x,1
-x---o-ox,1
-x---o--x,0
-x---o---,1
-xxx--ooo,-1
-xxx--oo-,1
-xx-x-ooo,-1
-xx-x-oo-,1
-xx--xooo,-1
-xx--xoo-,1
-xx---oox,-1
-xx---oo-,1
-xxx--o-o,1
-xx-x-o-o,1
-xx--xo-o,1
-xx---oxo,-1
-xx---o-o,1
-xx---o--,1
-x-xx-ooo,-1
-x-xx-oo-,1
-x-x-xooo,-1
-x-x-xoo-,1
-x-x--oox,-1
-x-x--oo-,1
-x-xx-o-o,1
-x-x-xo-o,1
-x-x--oxo,1
-x-x--o-o,-1
-x-x--o--,1
-x--xxooo,-1
-x--xxoo-,1
-x--x-oox,0
-x--x-oo-,0
-x--xxo-o,1
-x--x-oxo,-1
-x--x-o-o,1
-x--x-o--,0
-x---xoox,-1
-x---xoo-,1
-x---xoxo,1
-x---xo-o,-1
-x---xo--,1
-x----oxo,1
-x----ox-,1
-x----oox,1
-x----o-x,0
-x----o--,1
-xxx---oo,1
-xx-x--oo,1
-xx--x-oo,1
-xx---xoo,-1
-xx----oo,1
-xx----o-,0
-x-xx--oo,1
-x-x-x-oo,1
-x-x--xoo,-1
-x-x---oo,1
-x-x---o-,0
-x--xx-oo,1
-x--x-xoo,0
-x--x--oo,0
-x--x--o-,0
-x---xxoo,-1
-x---x-oo,1
-x---x-o-,0
-x----xoo,1
-x----xo-,0
-x-----ox,0
-x-----o-,0
-xx-----o,-1
-x-x----o,1
-x--x---o,0
-x---x--o,1
-x----x-o,0
-x-----xo,1
-x------o,1
-x-------,0
ooxxxox--,-1
ooxxxooxx,0
ooxxxoox-,0
ooxxxoxxo,-1
ooxxxo-xo,1
ooxxxo-x-,0
ooxxxoo-x,0
ooxxxoxox,-1
ooxxxo-ox,1
ooxxxo--x,0
ooxxxo---,1
ooxxxxo--,-1
ooxxxxoxo,-1
ooxxx-oxo,1
ooxxx-ox-,0
ooxxxxoox,-1
ooxxx-oox,1
ooxxx-o-x,0
ooxxx-o--,1
ooxxxx-o-,-1
ooxxx-xo-,-1
ooxxx--ox,-1
ooxxx--o-,1
ooxxxx--o,-1
ooxxx-x-o,-1
ooxxx--xo,-1
ooxxx---o,1
ooxxx----,-1
ooxxoxxo-,-1
ooxxoxx-o,-1
ooxxoxx--,1
ooxxoxoxx,-1
ooxxoxox-,1
ooxxox-xo,-1
ooxxox-x-,1
ooxxox--x,-1
ooxxox---,1
ooxx-xoxo,1
ooxx-xox-,-1
ooxx-xo-x,-1
ooxx-xo--,1
ooxxxxxoo,-1
ooxx-xxoo,1
ooxx-xxo-,1
ooxx-x-ox,-1
ooxx-x-o-,1
ooxx-xx-o,1
ooxx-x-xo,1
ooxx-x--o,1
ooxx-x---,-1
ooxxooxxx,-1
ooxxooxx-,1
ooxxo-xxo,-1
ooxxo-xx-,1
ooxxoox-x,1
ooxxo-xox,-1
ooxxo-x-x,1
ooxxo-x--,-1
ooxx-oxxo,1
ooxx-oxx-,-1
ooxx-oxox,1
ooxx-ox-x,-1
ooxx-ox--,1
ooxx--xox,1
ooxx--xo-,1
ooxx--xxo,1
ooxx--x-o,1
ooxx--x--,1
ooxxoo-xx,1
ooxxo-oxx,1
ooxxo--xx,-1
ooxxo--x-,1
ooxx-ooxx,0
ooxx-o-xx,0
ooxx-o-x-,1
ooxx--oxx,0
ooxx--ox-,1
ooxx---xo,1
ooxx---x-,-1
ooxxo---x,1
ooxx-o--x,1
ooxx--o-x,1
ooxx---ox,1
ooxx----x,-1
ooxx-----,1
o-xxoxoxo,-1
o-xxoxox-,1
o-xxoxo-x,-1
o-xxoxo--,1
o-xxoxxoo,-1
o-xxoxxo-,1
o-xxox-ox,-1
o-xxox-o-,1
o-xxox--o,-1
o-xxox---,1
o-xxooxxo,-1
o-xxooxx-,1
o-xxooxox,0
o-xxoox-x,0
o-xxoox--,0
o-xxo-xox,1
o-xxo-xo-,-1
o-xxo-x-o,-1
o-xxo-x--,1
o-xxoooxx,0
o-xxoo-xx,0
o-xxoo-x-,0
o-xxo-oxx,0
o-xxo-ox-,0
o-xxo--xo,-1
o-xxo--x-,1
o-xxoo--x,0
o-xxo-o-x,1
o-xxo--ox,1
o-xxo---x,0
o-xxo----,0
o-xxxooxo,1
o-xxxoox-,0
o-xxxooox,0
o-xxxoo-x,0
o-xxxoo--,0
o-xxxoxo-,-1
o-xxxo-ox,0
o-xxxo-o-,1
o-xxxox-o,-1
o-xxxo-xo,-1
o-xxxo--o,1
o-xxxo---,0
o-xx-oxox,0
o-xx-oxo-,1
o-xx-oxxo,1
o-xx-ox-o,1
o-xx-ox--,0
o-xx-ooxx,0
o-xx-oox-,0
o-xx-o-xo,1
o-xx-o-x-,0
o-xx-oo-x,0
o-xx-o-ox,0
o-xx-o--x,0
o-xx-o---,0
o-xxxxoo-,-1
o-xxx-oox,0
o-xxx-oo-,1
o-xxxxo-o,-1
o-xxx-oxo,-1
o-xxx-o-o,1
o-xxx-o--,0
o-xx-xoox,-1
o-xx-xoo-,1
o-xx-xoxo,1
o-xx-xo-o,1
o-xx-xo--,-1
o-xx--oxo,1
o-xx--ox-,0
o-xx--oox,1
o-xx--o-x,0
o-xx--o--,1
o-xxxx-oo,-1
o-xxx-xoo,-1
o-xxx--oo,1
o-xxx--o-,-1
o-xx-xxoo,1
o-xx-x-oo,1
o-xx-x-o-,-1
o-xx--xoo,1
o-xx--xo-,1
o-xx---ox,0
o-xx---o-,1
o-xxx---o,-1
o-xx-x--o,1
o-xx--x-o,1
o-xx---xo,1
o-xx----o,1
o-xx-----,0
ooxoxxx--,-1
ooxoxxox-,-1
ooxoxxxxo,-1
ooxoxx-xo,1
ooxoxx-x-,1
ooxoxx--x,-1
ooxoxx---,1
oox-xxoxo,1
oox-xxox-,1
oox-xxo-x,-1
oox-xxo--,1
oox-xxxo-,-1
oox-xx-ox,-1
oox-xx-o-,1
oox-xxx-o,-1
oox-xx-xo,-1
oox-xx--o,1
oox-xx---,-1
oox-x-x--,-1
ooxox-xx-,-1
ooxoxoxxx,-1
ooxoxo-xx,1
ooxox-oxx,-1
ooxox--xx,1
ooxox--x-,1
oox-xoxx-,-1
oox-xooxx,0
oox-xo-xx,0
oox-xo-x-,1
oox-x-oxx,1
oox-x-ox-,0
oox-x-xxo,-1
oox-x--xo,1
oox-x--x-,0
ooxox-x-x,-1
ooxox---x,1
oox-xox-x,-1
oox-xo--x,1
oox-x-o-x,1
oox-x-xox,-1
oox-x--ox,1
oox-x---x,-1
oox-x----,1
o-xoxxo--,-1
o-xoxxxo-,-1
o-xoxx-ox,-1
o-xoxx-o-,1
o-xoxxx-o,-1
o-xoxxoxo,-1
o-xoxx-xo,1
o-xoxx--o,1
o-xoxx---,1
o-xox-x--,-1
o-xoxoxx-,-1
o-xoxooxx,-1
o-xoxo-xx,1
o-xoxo-x-,1
o-xox-ox-,-1
o-xox-xxo,-1
o-xox--xo,1
o-xox--x-,1
o-xoxox-x,-1
o-xoxo--x,1
o-xox-o-x,-1
o-xox-xox,-1
o-xox--ox,1
o-xox---x,1
o-xox----,1
o-x-xox--,-1
o-x-xooxx,1
o-x-xoox-,1
o-x-xoxxo,-1
o-x-xo-xo,1
o-x-xo-x-,-1
o-x-xoo-x,0
o-x-xoxox,-1
o-x-xo-ox,1
o-x-xo--x,0
o-x-xo---,1
o-x-xxoox,-1
o-x-xxoo-,1
o-x-xxoxo,1
o-x-xxo-o,1
o-x-xxo--,1
o-x-x-oxo,1
o-x-x-ox-,1
o-x-x-oox,1
o-x-x-o-x,1
o-x-x-o--,0
o-x-xxxoo,-1
o-x-xx-oo,1
o-x-xx-o-,-1
o-x-x-xo-,-1
o-x-x--ox,-1
o-x-x--o-,1
o-x-xx--o,-1
o-x-x-x-o,-1
o-x-x--xo,-1
o-x-x---o,1
o-x-x----,0
ooxooxxxx,-1
ooxooxxx-,1
ooxo-xxxo,1
ooxo-xxx-,-1
ooxo-xx-x,-1
ooxo-xx--,1
oox-oxxxo,-1
oox-oxxx-,1
oox-oxx-x,-1
oox-oxx--,1
oox--xxox,-1
oox--xxo-,1
oox--xxxo,1
oox--xx-o,1
oox--xx--,-1
ooxo-x-xx,-1
ooxo-x-x-,1
oox-ox-xx,-1
oox-ox-x-,1
oox--xoxx,-1
oox--xox-,1
oox--x-xo,1
oox--x-x-,-1
oox--x--x,-1
oox--x---,1
o-xooxxxo,-1
o-xooxxx-,1
o-xooxx-x,-1
o-xooxx--,1
o-xo-xxox,-1
o-xo-xxo-,1
o-xo-xxxo,1
o-xo-xx-o,1
o-xo-xx--,-1
o-xoox-xx,-1
o-xoox-x-,1
o-xo-xox-,-1
o-xo-x-xo,-1
o-xo-x-x-,1
o-xo-x--x,-1
o-xo-x---,1
o-x-oxxox,-1
o-x-oxxo-,1
o-x-oxx-o,-1
o-x-oxx--,1
o-x-oxoxx,-1
o-x-oxox-,1
o-x-ox-xo,-1
o-x-ox-x-,1
o-x-ox--x,-1
o-x-ox---,1
o-x--xoxo,-1
o-x--xox-,1
o-x--xo-x,-1
o-x--xo--,1
o-x--xxoo,1
o-x--xxo-,-1
o-x--x-ox,-1
o-x--x-o-,1
o-x--xx-o,1
o-x--x-xo,1
o-x--x--o,1
o-x--x---,-1
ooxo--xxx,-1
ooxo--xx-,1
oox-o-xxx,-1
oox-o-xx-,1
oox--oxxx,-1
oox--oxx-,1
oox---xxo,1
oox---xx-,-1
ooxo--x-x,1
oox-o-x-x,1
oox--ox-x,1
oox---xox,1
oox---x-x,-1
oox---x--,1
o-xoo-xxx,-1
o-xoo-xx-,1
o-xo-oxxx,-1
o-xo-oxx-,1
o-xo--xxo,1
o-xo--xx-,-1
o-xoo-x-x,1
o-xo-ox-x,1
o-xo--xox,1
o-xo--x-x,-1
o-xo--x--,1
o-x-ooxxx,-1
o-x-ooxx-,1
o-x-o-xxo,-1
o-x-o-xx-,1
o-x-oox-x,1
o-x-o-xox,1
o-x-o-x-x,-1
o-x-o-x--,1
o-x--oxxo,1
o-x--oxx-,-1
o-x--oxox,1
o-x--ox-x,-1
o-x--ox--,1
o-x---xox,-1
o-x---xo-,1
o-x---xxo,1
o-x---x-o,1
o-x---x--,-1
ooxo---xx,1
oox-o--xx,1
oox--o-xx,1
oox---oxx,1
oox----xx,-1
oox----x-,1
o-xoo--xx,1
o-xo-o-xx,1
o-xo--oxx,-1
o-xo---xx,1
o-xo---x-,1
o-x-oo-xx,1
o-x-o-oxx,1
o-x-o--xx,-1
o-x-o--x-,1
o-x--ooxx,0
o-x--o-xx,0
o-x--o-x-,1
o-x---oxx,1
o-x---ox-,0
o-x----xo,1
o-x----x-,0
oox-----x,1
o-xo----x,1
o-x-o---x,1
o-x--o--x,1
o-x---o-x,1
o-x----ox,1
o-x-----x,-1
o-x------,1
-oxxoxoxo,0
-oxxoxox-,0
-oxxoxo-x,-1
-oxxoxo--,1
-oxxox-o-,-1
-oxxoxxoo,-1
-oxxoxx-o,1
-oxxox-xo,1
-oxxox--o,-1
-oxxox---,1
-oxxooxxo,1
-oxxooxx-,-1
-oxxooxox,-1
-oxxoox-x,1
-oxxoox--,1
-oxxo-xo-,-1
-oxxo-xxo,1
-oxxo-x-o,1
-oxxo-x--,1
-oxxoooxx,0
-oxxoo-xx,0
-oxxoo-x-,1
-oxxo-oxx,0
-oxxo-ox-,0
-oxxo--xo,0
-oxxo--x-,0
-oxxoo--x,0
-oxxo-o-x,1
-oxxo--ox,-1
-oxxo---x,1
-oxxo----,0
-oxxxooxo,0
-oxxxoox-,0
-oxxxooox,1
-oxxxoo-x,0
-oxxxoo--,0
-oxxxoxo-,-1
-oxxxo-ox,-1
-oxxxo-o-,1
-oxxxox-o,-1
-oxxxo-xo,0
-oxxxo--o,1
-oxxxo---,0
-oxx-oxox,1
-oxx-oxo-,1
-oxx-oxxo,-1
-oxx-ox-o,1
-oxx-ox--,-1
-oxx-ooxx,0
-oxx-oox-,0
-oxx-o-xo,1
-oxx-o-x-,0
-oxx-oo-x,0
-oxx-o-ox,1
-oxx-o--x,0
-oxx-o---,1
-oxxxxoo-,-1
-oxxx-oox,-1
-oxxx-oo-,1
-oxxxxo-o,-1
-oxxx-oxo,0
-oxxx-o-o,1
-oxxx-o--,0
-oxx-xoox,-1
-oxx-xoo-,1
-oxx-xoxo,0
-oxx-xo-o,1
-oxx-xo--,-1
-oxx--oxo,0
-oxx--ox-,0
-oxx--oox,1
-oxx--o-x,0
-oxx--o--,1
-oxxxx-oo,-1
-oxxx-xoo,-1
-oxxx--oo,1
-oxxx--o-,-1
-oxx-xxoo,1
-oxx-x-oo,1
-oxx-x-o-,1
-oxx--xoo,1
-oxx--xo-,1
-oxx---ox,1
-oxx---o-,1
-oxxx---o,-1
-oxx-x--o,1
-oxx--x-o,-1
-oxx---xo,0
-oxx----o,1
-oxx-----,0
-oxoxxoxo,0
-oxoxxox-,1
-oxoxxo-x,-1
-oxoxxo--,1
-oxoxxxo-,-1
-oxoxx-ox,-1
-oxoxx-o-,1
-oxoxxx-o,-1
-oxoxx-xo,0
-oxoxx--o,1
-oxoxx---,-1
-oxox-x--,-1
-oxoxoxx-,-1
-oxoxooxx,1
-oxoxo-xx,-1
-oxoxo-x-,1
-oxox-oxx,1
-oxox-ox-,0
-oxox-xxo,-1
-oxox--xo,1
-oxox--x-,0
-oxoxox-x,-1
-oxoxo--x,1
-oxox-o-x,1
-oxox-xox,-1
-oxox--ox,1
-oxox---x,-1
-oxox----,1
